place_id,userid,travel_date,point
54,8457,2017.1.9 0:10,5
54,11251,2017.1.8 0:10,5
54,11223,2017.1.8 0:10,3
54,9645,2017.1.24 0:09,5
54,1973,2017.1.23 0:08,3
54,7121,2017.1.16 0:07,5
54,3292,2017.1.16 0:07,5
54,10867,2017.1.8 0:07,4
54,10570,2017.1.26 0:06,5
54,10879,2017.1.8 0:06,5
54,3290,2017.1.18 0:05,5
54,7466,2017.1.6 0:05,5
54,10491,2017.1.24 0:03,4
54,9127,2017.1.14 0:03,5
54,10280,2017.1.13 0:03,4
54,140,2017.1.3 0:03,3
54,2055,2017.1.2 0:02,5
54,11162,2017.1.2 0:02,3
54,7540,2017.1.2 0:02,5
54,8764,2017.1.26 0:01,4
54,2937,2017.1.6 0:01,5
54,8876,2016.1.12 0:11,5
54,10134,2016.1.9 0:10,5
54,10533,2016.1.7 0:10,5
54,9851,2016.1.4 0:10,5
54,2402,2016.1.20 0:09,4
54,4783,2016.1.18 0:09,5
54,11499,2016.1.25 0:08,5
54,10786,2016.1.23 0:08,5
54,6863,2016.1.12 0:08,5
54,9743,2016.1.10 0:08,5
54,2242,2016.1.9 0:08,5
54,4695,2016.1.26 0:07,5
54,11289,2016.1.20 0:07,4
54,8903,2016.1.12 0:07,5
54,9942,2016.1.8 0:07,5
54,8748,2016.1.5 0:06,4
54,6111,2016.1.30 0:05,5
54,6893,2016.1.25 0:05,5
54,10824,2016.1.23 0:05,5
54,3558,2016.1.18 0:05,4
54,6740,2016.1.17 0:05,4
54,6926,2016.1.12 0:05,5
54,5936,2016.1.7 0:05,1
54,5750,2016.1.6 0:05,5
54,5983,2016.1.28 0:04,4
54,3264,2016.1.26 0:04,4
54,4954,2016.1.23 0:04,5
54,11267,2016.1.14 0:04,5
54,2261,2016.1.13 0:04,4
54,10702,2016.1.28 0:03,5
54,11324,2016.1.27 0:03,5
54,7606,2016.1.23 0:03,5
54,9203,2016.1.23 0:03,5
54,8923,2016.1.15 0:03,4
54,4854,2016.1.13 0:03,5
54,10211,2016.1.10 0:03,4
54,9221,2016.1.8 0:03,5
54,6415,2016.1.8 0:03,5
54,9421,2016.1.29 0:02,5
54,10689,2016.1.27 0:02,5
54,1176,2016.1.21 0:02,5
54,8255,2016.1.19 0:02,3
54,10620,2016.1.14 0:02,4
54,10967,2016.1.14 0:02,5
54,10247,2016.1.11 0:02,5
54,169,2016.1.1 0:02,4
54,8273,2016.1.31 0:01,5
54,4069,2016.1.29 0:01,4
54,11152,2016.1.11 0:01,5
54,7820,2016.1.6 0:01,5
54,10048,2015.1.30 0:12,5
54,8744,2015.1.28 0:12,5
54,10269,2015.1.19 0:12,3
54,8627,2015.1.8 0:12,5
54,8551,2015.1.29 0:11,5
54,10684,2015.1.25 0:11,5
54,2455,2015.1.19 0:11,5
54,10018,2015.1.17 0:11,4
54,11031,2015.1.16 0:11,3
54,11104,2015.1.11 0:11,5
54,2065,2015.1.8 0:11,4
54,6987,2015.1.28 0:10,5
54,2849,2015.1.22 0:10,4
54,11059,2015.1.18 0:10,5
54,4570,2015.1.17 0:10,5
54,4904,2015.1.10 0:10,4
54,8445,2015.1.5 0:10,5
54,6610,2015.1.16 0:09,5
54,11216,2015.1.14 0:09,4
54,8851,2015.1.13 0:09,4
54,9286,2015.1.11 0:09,5
54,10688,2015.1.10 0:09,5
54,4456,2015.1.8 0:09,5
54,5515,2015.1.5 0:09,1
54,9856,2015.1.2 0:09,5
54,7624,2015.1.29 0:08,4
54,7557,2015.1.18 0:08,5
54,10801,2015.1.13 0:08,4
54,2122,2015.1.13 0:08,4
54,10385,2015.1.13 0:08,3
54,10300,2015.1.12 0:08,4
54,11247,2015.1.12 0:08,5
54,6947,2015.1.11 0:08,4
54,10900,2015.1.5 0:08,4
54,11576,2015.1.15 0:04,5
54,11132,2015.1.5 0:03,4
54,3024,2014.1.2 0:11,4
54,11116,2014.1.6 0:10,5
54,8160,2014.1.30 0:09,5
54,10440,2014.1.5 0:08,5
54,10636,2014.1.21 0:01,5
54,3375,2013.1.27 0:09,4
54,9521,2013.1.16 0:04,4
54,4610,2013.1.4 0:04,4
54,9911,2013.1.19 0:03,5
54,9628,2013.1.2 0:02,5
54,7811,2012.1.17 0:05,5
54,1449,2020.1.6 0:03,4
54,853,2020.1.12 0:02,5
54,4284,2020.1.7 0:02,4
54,7212,2020.1.7 0:02,5
54,9555,2020.1.21 0:01,5
54,2568,2020.1.20 0:01,5
54,5429,2020.1.8 0:01,5
54,5073,2018.1.15 0:10,5
54,3210,2018.1.7 0:10,5
54,7749,2017.1.3 0:08,5
54,4264,2017.1.22 0:07,5
54,1275,2017.1.15 0:07,5
54,713,2017.1.8 0:07,5
54,3347,2017.1.2 0:07,4
54,3216,2017.1.9 0:06,4
54,155,2017.1.3 0:06,5
54,3639,2017.1.19 0:05,5
54,3874,2017.1.16 0:05,4
54,5520,2017.1.6 0:05,5
54,446,2017.1.25 0:04,4
54,6823,2017.1.24 0:04,5
54,3164,2017.1.22 0:04,5
54,8510,2017.1.7 0:04,4
54,8534,2017.1.6 0:04,5
54,1216,2017.1.4 0:04,5
54,1304,2017.1.1 0:04,5
54,7893,2017.1.30 0:03,4
54,5431,2017.1.30 0:03,5
54,7525,2017.1.29 0:03,5
54,5684,2017.1.28 0:03,4
54,9241,2017.1.10 0:03,5
54,4685,2017.1.1 0:03,5
54,215,2017.1.22 0:02,4
54,1369,2017.1.15 0:02,5
54,1351,2017.1.14 0:02,5
54,75,2017.1.29 0:01,4
54,8144,2017.1.6 0:01,5
54,3903,2017.1.4 0:01,5
54,4487,2016.1.15 0:12,5
54,3229,2016.1.10 0:12,5
54,6100,2016.1.6 0:12,4
54,4879,2016.1.3 0:12,4
54,4107,2016.1.28 0:11,4
54,7990,2016.1.24 0:11,4
54,9207,2016.1.19 0:11,5
54,4173,2016.1.11 0:11,5
54,39,2016.1.10 0:11,3
54,5883,2016.1.10 0:11,5
54,2038,2016.1.8 0:11,4
54,3348,2016.1.4 0:11,4
54,474,2016.1.31 0:10,4
